date,overall_score
1965-01-01,0.5
1968-01-01,1.0
1969-01-01,1.5
1970-01-01,3.0
1971-01-01,3.5
1972-01-01,4.0
1973-01-01,5.5
1974-01-01,5.0
1976-01-01,4.0
1980-01-01,4.5
1982-01-01,5.5
1984-01-01,6.0
1986-01-01,8.0
1988-01-01,10.0
1990-01-01,12.5
1991-01-01,13.5
1992-01-01,14.5
1993-01-01,14.5
1994-01-01,15.5
1996-01-01,16.5
1998-01-01,20.5
1999-01-01,21.5
2000-01-01,23.5
2001-01-01,22.5
2002-01-01,24.5
2003-01-01,25.0
2004-01-01,26.0
2005-01-01,27.0
2006-01-01,28.0
2007-01-01,28.0
2008-01-01,29.0
2009-01-01,30.0
2010-01-01,33.0
2012-01-01,34.0
2013-01-01,34.0
2014-01-01,38.0
2015-01-01,41.5
2016-01-01,43.5
2017-01-01,41.5
2018-01-01,42.5
2019-01-01,41.5
2020-01-01,42.5
2021-01-01,52.5
2022-01-01,60.5
2023-01-01,61.5
